experiment_name,model,imgsz,preprocess,preprocess_params,augment,epochs,seed,mAP50,mAP50_95,precision,recall,f1_score,inference_ms,train_time_sec,train_time_min,status,description,timestamp,AP50_car,AP50_dummy
baseline_v8n,yolov8n.pt,640,,{},False,100,42,0.995,0.8393152469374264,0.9975654103333984,1.0,0.998781221553994,5.068702131570478,174.003516,2.9000586,success,YOLOv8 nano 베이스라인,2026-06-02T01:16:35.253637,0.995,0.995
baseline_v11n,yolo11n.pt,640,,{},False,100,42,0.995,0.8363928638658379,0.9984934238959297,1.0,0.9992461440773052,3.660126289440469,148.170861,2.46951435,success,YOLO11 nano 베이스라인,2026-06-02T01:19:03.433153,0.995,0.995
baseline_v26n,yolo26n.pt,640,,{},False,100,42,0.993499061913696,0.8418447793730393,0.9903890326314942,0.9703917283862492,0.9802884078189548,3.8447829736852377,213.090936,3.5515156,success,"YOLO26 nano 베이스라인 (NMS-free, 소형객체 강점)",2026-06-02T01:22:36.528555,0.995,0.9919981238273922
v8n_imgsz320,yolov8n.pt,320,,{},False,100,42,0.995,0.850994812557421,0.9954997662334252,1.0,0.9977448086726318,3.984864210523435,76.002662,1.2667110333333331,success,YOLOv8n - 작은 이미지 (320),2026-06-02T01:23:52.535763,0.995,0.995
v11n_imgsz320,yolo11n.pt,320,,{},False,100,42,0.995,0.8434415880224007,0.9979111184175496,1.0,0.998954467211682,3.636196947378554,99.430367,1.6571727833333334,success,YOLO11n - 작은 이미지 (320),2026-06-02T01:25:31.971434,0.995,0.995
v26n_imgsz320,yolo26n.pt,320,,{},False,100,42,0.9891384615384616,0.832863537421838,0.9440945469268612,0.9358092290034736,0.9399336299846338,2.898582894718665,119.801767,1.9966961166666664,success,"YOLO26n - 작은 이미지 (320, 강점 검증)",2026-06-02T01:27:31.777781,0.9886615384615384,0.9896153846153848
v8n_imgsz480,yolov8n.pt,480,,{},False,100,42,0.995,0.840415091597559,0.9955340409087676,1.0,0.9977620230977376,4.893837973668269,94.256217,1.57093695,success,YOLOv8n - 중간 이미지 (480),2026-06-02T01:29:06.038491,0.995,0.995
v11n_imgsz480,yolo11n.pt,480,,{},False,100,42,0.995,0.8522264054108994,0.9979582043179832,1.0,0.9989780588614896,2.524504131590794,141.920981,2.3653496833333336,success,YOLO11n - 중간 이미지 (480),2026-06-02T01:31:27.964481,0.995,0.995
v26n_imgsz480,yolo26n.pt,480,,{},False,100,42,0.995,0.8551130256241711,0.9875422691463952,1.0,0.99373209262163,3.9438098421286623,154.083871,2.5680645166666665,success,YOLO26n - 중간 이미지 (480),2026-06-02T01:34:02.053300,0.995,0.995
v8n_blur_light,yolov8n.pt,640,gaussian_blur,"{""sigma"": 1.5}",False,100,42,0.9900000000000002,0.8361091567867339,0.9857778018053822,1.0,0.9928379710047682,3.4884694736990096,168.749791,2.8124965166666667,success,YOLOv8n - 약한 블러 (sigma=1.5),2026-06-02T01:36:51.148599,0.9850000000000004,0.995
v11n_blur_light,yolo11n.pt,640,gaussian_blur,"{""sigma"": 1.5}",False,100,42,0.995,0.8504533553466217,0.9980643973810116,1.0,0.9990312611437724,2.8077998947178697,183.153025,3.052550416666667,success,YOLO11n - 약한 블러 (sigma=1.5),2026-06-02T01:39:54.307085,0.995,0.995
v26n_blur_light,yolo26n.pt,640,gaussian_blur,"{""sigma"": 1.5}",False,100,42,0.9884928818817786,0.8360260294632929,0.9499848918816892,0.955103406390036,0.9525372730265514,2.768703763171001,185.729631,3.09549385,success,YOLO26n - 약한 블러 (sigma=1.5),2026-06-02T01:43:00.043383,0.9904244186046512,0.986561345158906
v8n_blur_heavy,yolov8n.pt,640,gaussian_blur,"{""sigma"": 2.5}",False,100,42,0.995,0.8512315175683527,0.9970406990648696,1.0,0.9985181569226323,1.9492054473774163,169.301815,2.8216969166666668,success,YOLOv8n - 강한 블러 (sigma=2.5),2026-06-02T01:45:49.773709,0.995,0.995
v11n_blur_heavy,yolo11n.pt,640,gaussian_blur,"{""sigma"": 2.5}",False,100,42,0.995,0.8506223285654524,0.9974237818560144,1.0,0.9987102295630064,2.623259078949272,184.979889,3.08299815,success,YOLO11n - 강한 블러 (sigma=2.5),2026-06-02T01:48:54.759669,0.995,0.995
v26n_blur_heavy,yolo26n.pt,640,gaussian_blur,"{""sigma"": 2.5}",False,100,42,0.9902919629390218,0.8410172197866709,0.9267064514351366,1.0,0.9619591513225746,3.0521126578892828,214.469295,3.57448825,success,YOLO26n - 강한 블러 (sigma=2.5),2026-06-02T01:52:29.235426,0.9868659771600948,0.9937179487179488
v8n_noise,yolov8n.pt,640,gaussian_noise,"{""var"": 0.02}",False,100,42,0.995,0.8451301136781424,0.9967628114377558,1.0,0.9983787816240862,3.550711184241089,180.457934,3.007632233333333,success,YOLOv8n - 노이즈 추가,2026-06-02T01:55:36.573778,0.995,0.995
v11n_noise,yolo11n.pt,640,gaussian_noise,"{""var"": 0.02}",False,100,42,0.995,0.8414642498589824,0.998385877805806,1.0,0.9991922870291868,1.9078681579182888,197.24966,3.287494333333333,success,YOLO11n - 노이즈 추가,2026-06-02T01:58:53.830135,0.995,0.995
v26n_noise,yolo26n.pt,640,gaussian_noise,"{""var"": 0.02}",False,100,42,0.995,0.8401339026146143,0.9886993408027592,0.9854585146029402,0.9870762675927603,1.8192030263315628,235.903893,3.93173155,success,YOLO26n - 노이즈 추가,2026-06-02T02:02:49.740888,0.995,0.995
v8n_augment,yolov8n.pt,640,,{},True,100,42,0.995,0.853433336796295,0.9977773551297144,1.0,0.9988874411532505,2.1003937368540826,170.748356,2.845805933333333,success,YOLOv8n - Mosaic augmentation ON,2026-06-02T02:05:40.494196,0.995,0.995
v11n_augment,yolo11n.pt,640,,{},True,100,42,0.995,0.8623359210222205,0.9981843096875552,1.0,0.9990913299120396,1.8671631315603583,184.756027,3.0792671166666663,success,YOLO11n - Mosaic augmentation ON,2026-06-02T02:08:45.255203,0.995,0.995
v26n_augment,yolo26n.pt,640,,{},True,100,42,0.9883768070395976,0.8377058074782919,0.9931848397161996,0.9342105263157896,0.9627954369842916,2.918540210550036,155.842432,2.5973738666666666,success,YOLO26n - Mosaic augmentation ON,2026-06-02T02:11:21.102626,0.9817536140791956,0.995
v8s_baseline,yolov8s.pt,640,,{},False,100,42,0.9945,0.8252913328261174,0.9836683192264744,0.986842105263158,0.9852526563289272,5.686169947406789,197.76743,3.296123833333333,success,YOLOv8 small - 크기 비교,2026-06-02T02:14:38.875686,0.994,0.995
v11s_baseline,yolo11s.pt,640,,{},False,100,42,0.9947435897435898,0.7856676227523779,0.9923328177318174,0.986842105263158,0.989579845211766,5.556675078926339,88.118664,1.4686443999999998,success,YOLO11 small - 크기 비교,2026-06-02T02:16:06.999470,0.9944871794871796,0.995
v26s_baseline,yolo26s.pt,640,,{},False,100,42,0.9940476190476191,0.8595933463893509,0.9951018102248257,0.9825983292280545,0.9888105447666351,4.2808881052654835,358.746837,5.97911395,success,YOLO26 small - 크기 비교,2026-06-02T02:22:05.752515,0.995,0.993095238095238
