epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.23177,0.85618,2.80136,0.93175,0.44434,0.97666,0.90751,0.63256,0.91713,2.46381,0.87833,0.00025005,0.00025005,0.00025005
2,5.95911,0.85066,1.39144,0.92875,0.00653,1,0.9364,0.68587,0.8327,2.49346,0.87758,0.000511654,0.000511654,0.000511654
3,7.70034,0.85688,1.27195,0.98084,0.9968,0.08451,0.77141,0.54622,0.89771,2.78731,0.93529,0.000767977,0.000767977,0.000767977
4,9.48067,0.80821,1.13797,0.97031,1,0.10459,0.87149,0.64012,0.85591,2.46264,0.93099,0.00101902,0.00101902,0.00101902
5,11.2864,0.80599,1.05414,0.95225,0.98955,0.77059,0.99337,0.75988,0.82977,1.76346,0.96044,0.00126478,0.00126478,0.00126478
6,13.0821,0.80226,0.96934,0.9556,0.92758,0.87788,0.96483,0.68282,0.94171,1.35431,0.99554,0.00150526,0.00150526,0.00150526
7,14.9377,0.82807,0.9302,0.96599,0.86608,0.8696,0.94697,0.64278,1.0942,1.28315,1.08861,0.00156798,0.00156798,0.00156798
8,16.5785,0.83461,0.88435,0.99054,0.95493,0.96228,0.99138,0.73106,0.90448,0.85163,0.97758,0.00155148,0.00155148,0.00155148
9,18.2498,0.77531,0.82528,0.96179,0.85603,0.93547,0.98924,0.75531,0.82516,0.85955,0.95124,0.00153497,0.00153497,0.00153497
10,19.9633,0.80107,0.78238,0.9789,0.97363,0.95834,0.99356,0.71209,0.94707,0.76535,0.9957,0.00151847,0.00151847,0.00151847
11,21.6746,0.78456,0.76476,0.9668,0.98386,0.95892,0.9902,0.75476,0.81907,0.67275,0.94558,0.00150197,0.00150197,0.00150197
12,23.2799,0.7535,0.71487,0.95607,0.99394,0.9965,0.995,0.78083,0.76541,0.57488,0.94074,0.00148546,0.00148546,0.00148546
13,24.9008,0.76048,0.66082,0.93645,0.99887,1,0.995,0.79483,0.77414,0.51434,0.92999,0.00146896,0.00146896,0.00146896
14,26.512,0.74909,0.63511,0.94213,0.99636,0.98592,0.99453,0.79854,0.77024,0.47438,0.91345,0.00145246,0.00145246,0.00145246
15,28.1333,0.7331,0.60737,0.93923,0.99512,1,0.995,0.77306,0.83915,0.46733,0.95257,0.00143595,0.00143595,0.00143595
16,29.7397,0.73542,0.59022,0.93812,0.99626,0.9999,0.995,0.79165,0.77653,0.44954,0.93111,0.00141945,0.00141945,0.00141945
17,31.3412,0.76622,0.59442,0.95191,0.99626,1,0.995,0.78693,0.80159,0.45197,0.92724,0.00140295,0.00140295,0.00140295
18,32.9374,0.73802,0.54775,0.92951,0.9934,1,0.995,0.73026,0.89133,0.46421,0.98483,0.00138644,0.00138644,0.00138644
19,34.6235,0.72875,0.53587,0.91879,0.99708,1,0.995,0.79818,0.7449,0.40528,0.91903,0.00136994,0.00136994,0.00136994
20,36.2235,0.70383,0.51449,0.92492,0.98914,1,0.99486,0.79552,0.75272,0.45586,0.91688,0.00135344,0.00135344,0.00135344
21,37.8231,0.7009,0.52063,0.90257,0.99551,1,0.995,0.79889,0.73659,0.44935,0.917,0.00133693,0.00133693,0.00133693
22,39.431,0.71389,0.49786,0.93918,0.99829,1,0.995,0.77673,0.76177,0.42773,0.92105,0.00132043,0.00132043,0.00132043
23,41.0194,0.7153,0.49333,0.93262,0.9949,0.99929,0.995,0.79815,0.75199,0.39055,0.91431,0.00130393,0.00130393,0.00130393
24,42.5982,0.71227,0.48272,0.93163,0.99398,0.9969,0.995,0.80226,0.77721,0.40562,0.94048,0.00128742,0.00128742,0.00128742
25,44.1927,0.68285,0.4644,0.92395,0.98851,0.98592,0.99129,0.77622,0.79413,0.40516,0.93005,0.00127092,0.00127092,0.00127092
26,45.7652,0.70205,0.45663,0.91665,0.99343,0.99827,0.995,0.81004,0.70332,0.37299,0.91279,0.00125442,0.00125442,0.00125442
27,47.3549,0.67524,0.4361,0.90153,0.99522,0.99296,0.99493,0.7704,0.80383,0.39657,0.93695,0.00123791,0.00123791,0.00123791
28,48.9546,0.68186,0.42951,0.91529,0.99819,0.99929,0.995,0.7996,0.74675,0.59154,0.91433,0.00122141,0.00122141,0.00122141
29,50.5333,0.70072,0.44707,0.92374,0.99427,0.99924,0.995,0.79961,0.72087,0.41339,0.91151,0.00120491,0.00120491,0.00120491
30,52.1077,0.66164,0.42754,0.91389,0.99802,0.99889,0.995,0.81477,0.72841,0.37407,0.89772,0.0011884,0.0011884,0.0011884
31,53.7899,0.66589,0.42234,0.89866,0.98484,1,0.99472,0.80384,0.74004,0.367,0.90381,0.0011719,0.0011719,0.0011719
32,55.3842,0.69457,0.42777,0.9138,0.99834,0.99904,0.995,0.81961,0.70332,0.36513,0.8946,0.0011554,0.0011554,0.0011554
33,56.9851,0.65655,0.41388,0.90596,0.98934,0.99981,0.99486,0.80992,0.74502,0.3662,0.90283,0.00113889,0.00113889,0.00113889
34,58.5937,0.6593,0.40635,0.90287,0.99417,1,0.995,0.81787,0.72308,0.37284,0.90687,0.00112239,0.00112239,0.00112239
35,60.1872,0.62868,0.38377,0.89647,0.99209,1,0.995,0.81876,0.67217,0.35689,0.89031,0.00110589,0.00110589,0.00110589
36,61.7639,0.6342,0.37985,0.89613,0.99801,1,0.995,0.81498,0.68415,0.33272,0.88989,0.00108938,0.00108938,0.00108938
37,63.3437,0.6223,0.3722,0.90045,0.99764,1,0.995,0.81101,0.67284,0.33106,0.89439,0.00107288,0.00107288,0.00107288
38,64.9173,0.60532,0.36301,0.88876,0.99669,0.99981,0.995,0.79559,0.72229,0.3457,0.90474,0.00105638,0.00105638,0.00105638
39,66.489,0.62489,0.36854,0.88065,0.99696,1,0.995,0.79537,0.76253,0.36121,0.90983,0.00103987,0.00103987,0.00103987
40,68.0663,0.65083,0.37932,0.89531,0.99785,1,0.995,0.82536,0.70049,0.33169,0.88889,0.00102337,0.00102337,0.00102337
41,69.6491,0.63376,0.36883,0.89145,0.99714,1,0.995,0.81902,0.72081,0.33948,0.90285,0.00100687,0.00100687,0.00100687
42,71.2225,0.63043,0.3693,0.8871,0.99751,1,0.995,0.82318,0.67687,0.33289,0.89003,0.000990365,0.000990365,0.000990365
43,72.9412,0.63314,0.3718,0.89185,0.99867,1,0.995,0.81551,0.71061,0.33419,0.89554,0.000973861,0.000973861,0.000973861
44,74.5271,0.60955,0.35319,0.89349,1,0.99884,0.995,0.81833,0.67427,0.32664,0.8909,0.000957358,0.000957358,0.000957358
45,76.1161,0.60866,0.35508,0.90219,0.99837,0.99795,0.995,0.83822,0.6439,0.31409,0.87557,0.000940855,0.000940855,0.000940855
46,77.7146,0.62756,0.3553,0.88867,0.98957,0.99699,0.99472,0.83381,0.65959,0.33261,0.88697,0.000924352,0.000924352,0.000924352
47,79.2794,0.60706,0.34832,0.8912,0.99725,0.99296,0.99493,0.82803,0.64987,0.32129,0.87743,0.000907848,0.000907848,0.000907848
48,80.853,0.60229,0.35205,0.87487,0.99457,1,0.995,0.83034,0.64642,0.32024,0.88189,0.000891345,0.000891345,0.000891345
49,82.436,0.6137,0.34439,0.89326,0.99602,0.99778,0.995,0.82165,0.66294,0.31623,0.88426,0.000874842,0.000874842,0.000874842
50,84.0114,0.59882,0.34025,0.88638,0.99746,0.99836,0.995,0.82955,0.65479,0.3053,0.88028,0.000858338,0.000858338,0.000858338
51,85.6044,0.59694,0.3344,0.90304,0.99934,0.99879,0.995,0.82122,0.68846,0.31729,0.89627,0.000841835,0.000841835,0.000841835
52,87.1754,0.59581,0.33585,0.87874,0.99737,1,0.995,0.81016,0.6952,0.32485,0.8977,0.000825332,0.000825332,0.000825332
53,88.7536,0.58818,0.33592,0.89279,0.99603,1,0.995,0.82904,0.66033,0.31153,0.88456,0.000808828,0.000808828,0.000808828
54,90.3292,0.59215,0.3336,0.87718,0.99024,1,0.995,0.80485,0.7123,0.32182,0.902,0.000792325,0.000792325,0.000792325
55,91.9063,0.5845,0.32915,0.88251,0.99656,1,0.995,0.82979,0.68167,0.31886,0.88949,0.000775822,0.000775822,0.000775822
56,93.5806,0.56103,0.31855,0.87627,0.99761,1,0.995,0.82354,0.66112,0.31098,0.8794,0.000759318,0.000759318,0.000759318
57,95.1535,0.5859,0.32222,0.87217,0.99776,1,0.995,0.83149,0.67868,0.31735,0.88007,0.000742815,0.000742815,0.000742815
58,96.7279,0.59092,0.32636,0.87607,0.99765,1,0.995,0.83869,0.66041,0.30612,0.87744,0.000726312,0.000726312,0.000726312
59,98.3145,0.54645,0.31387,0.86417,0.99752,1,0.995,0.82784,0.66761,0.30422,0.88299,0.000709809,0.000709809,0.000709809
60,99.8864,0.55486,0.31288,0.87154,0.99774,1,0.995,0.83342,0.64833,0.29804,0.87324,0.000693305,0.000693305,0.000693305
61,101.46,0.57165,0.30468,0.8697,0.99805,1,0.995,0.8289,0.68883,0.29629,0.88604,0.000676802,0.000676802,0.000676802
62,103.054,0.58315,0.31631,0.87149,0.99761,1,0.995,0.82437,0.69037,0.30415,0.88387,0.000660299,0.000660299,0.000660299
63,104.633,0.54479,0.30694,0.87042,0.99781,1,0.995,0.83615,0.66838,0.29647,0.87781,0.000643795,0.000643795,0.000643795
64,106.214,0.55345,0.31317,0.86829,0.99579,1,0.995,0.828,0.67894,0.31191,0.88313,0.000627292,0.000627292,0.000627292
65,107.794,0.56965,0.30969,0.86406,0.99594,1,0.995,0.82955,0.66881,0.29178,0.88328,0.000610789,0.000610789,0.000610789
66,109.379,0.55932,0.3061,0.86823,0.99759,1,0.995,0.84296,0.6439,0.28648,0.87129,0.000594286,0.000594286,0.000594286
67,110.974,0.54164,0.30135,0.85927,0.99755,1,0.995,0.84049,0.65837,0.30049,0.87127,0.000577782,0.000577782,0.000577782
68,112.65,0.54531,0.30101,0.8568,0.99777,1,0.995,0.83566,0.63227,0.29128,0.87093,0.000561279,0.000561279,0.000561279
69,114.229,0.54354,0.29689,0.86797,0.9972,1,0.995,0.85323,0.63081,0.29536,0.8714,0.000544776,0.000544776,0.000544776
70,115.819,0.54358,0.30622,0.87287,0.99719,1,0.995,0.84723,0.64585,0.28145,0.87546,0.000528272,0.000528272,0.000528272
71,117.406,0.53427,0.29119,0.87059,0.99852,1,0.995,0.84248,0.64119,0.27748,0.87094,0.000511769,0.000511769,0.000511769
72,118.984,0.52932,0.28301,0.86264,0.99769,1,0.995,0.83897,0.63653,0.28015,0.87263,0.000495266,0.000495266,0.000495266
73,120.551,0.55795,0.29766,0.87349,0.99848,1,0.995,0.84476,0.63464,0.2776,0.87124,0.000478762,0.000478762,0.000478762
74,122.14,0.53441,0.29058,0.86062,0.99708,1,0.995,0.83759,0.65144,0.27751,0.87486,0.000462259,0.000462259,0.000462259
