epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.31874,0.82868,7.14863,0.00564,0.00946,1,0.48077,0.34522,0.73208,4.47221,0.0046,0.00025005,0.00025005,0.00025005
2,4.43638,0.77893,6.05758,0.00532,0.00792,0.98592,0.53909,0.41423,0.75208,4.24341,0.00457,0.000511654,0.000511654,0.000511654
3,6.57096,0.82352,5.55429,0.00583,0.00766,0.99296,0.7033,0.52326,0.78457,3.92854,0.005,0.000767977,0.000767977,0.000767977
4,8.70506,0.89434,4.92652,0.00611,0.46613,0.80033,0.75937,0.57904,0.90406,3.43688,0.00557,0.00101902,0.00101902,0.00101902
5,10.7734,0.85582,4.38213,0.00556,0.77791,0.65838,0.78447,0.6325,0.74702,2.78734,0.00492,0.00126478,0.00126478,0.00126478
6,12.9758,0.87491,3.9838,0.0059,0.85728,0.76481,0.86636,0.68264,0.87459,2.26781,0.00582,0.00150526,0.00150526,0.00150526
7,15.0514,0.93797,3.57538,0.00632,0.85281,0.82463,0.90779,0.69388,0.85442,2.03147,0.00541,0.00156798,0.00156798,0.00156798
8,17.1017,1.01492,3.35214,0.00705,0.90081,0.82414,0.91485,0.64195,1.185,1.76906,0.00811,0.00155148,0.00155148,0.00155148
9,19.1202,1.05907,3.00043,0.00776,0.90549,0.85812,0.95452,0.68448,1.11941,1.52794,0.00792,0.00153497,0.00153497,0.00153497
10,21.1419,1.07221,2.78437,0.00755,0.88767,0.94117,0.96436,0.71724,0.98488,1.31446,0.00645,0.00151847,0.00151847,0.00151847
11,23.2244,0.93721,2.52086,0.00644,0.92606,0.88028,0.96492,0.75234,0.91798,1.13802,0.00578,0.00150197,0.00150197,0.00150197
12,25.3517,0.88363,2.17632,0.00593,0.87739,0.94076,0.96369,0.75061,0.88826,0.98643,0.00562,0.00148546,0.00148546,0.00148546
13,27.4064,0.86245,1.99063,0.0057,0.94973,0.88455,0.97031,0.7433,0.899,0.80037,0.00581,0.00146896,0.00146896,0.00146896
14,29.4277,0.94898,1.84054,0.00627,0.90042,0.91491,0.97083,0.73211,0.90497,0.71184,0.00586,0.00145246,0.00145246,0.00145246
15,31.452,0.9127,1.71648,0.00613,0.89768,0.95723,0.96671,0.74423,0.91728,0.53987,0.00611,0.00143595,0.00143595,0.00143595
16,33.465,0.98753,1.59819,0.00679,0.8456,0.97036,0.96384,0.73406,0.97515,0.47646,0.00608,0.00141945,0.00141945,0.00141945
17,35.6201,0.92996,1.46971,0.00627,0.86279,0.9525,0.96836,0.72137,1.00113,0.49912,0.00642,0.00140295,0.00140295,0.00140295
18,37.6395,0.88063,1.39743,0.00573,0.88054,0.87156,0.95079,0.7478,0.87157,0.47463,0.0056,0.00138644,0.00138644,0.00138644
19,39.6569,0.8633,1.23128,0.00551,0.90953,0.83452,0.9539,0.74816,0.89781,0.45247,0.00578,0.00136994,0.00136994,0.00136994
20,41.6786,0.82926,1.14877,0.00552,0.97007,0.82602,0.97296,0.77357,0.82795,0.39474,0.00513,0.00135344,0.00135344,0.00135344
21,43.7153,0.77643,1.04899,0.00498,0.95829,0.91356,0.97792,0.77313,0.84336,0.37188,0.00543,0.00133693,0.00133693,0.00133693
22,45.8716,0.83818,0.95059,0.00579,0.84101,0.97183,0.9766,0.71772,1.05359,0.41224,0.00706,0.00132043,0.00132043,0.00132043
23,47.88,0.85377,0.95509,0.0059,0.96942,0.91403,0.98276,0.76534,0.88228,0.3656,0.00562,0.00130393,0.00130393,0.00130393
24,49.893,0.83327,0.85822,0.00537,0.95387,0.92272,0.97435,0.77306,0.83244,0.35817,0.00525,0.00128742,0.00128742,0.00128742
