epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.48809,0.93803,14.2347,0.0064,0.63166,0.64827,0.70831,0.49977,1.03316,3.47117,0.00632,0.00025005,0.00025005,0.00025005
2,7.11558,0.89583,6.0768,0.00603,0.71401,0.67342,0.82526,0.61506,0.94358,2.19932,0.00609,0.000511654,0.000511654,0.000511654
3,10.7737,0.91047,2.90982,0.0066,0.83542,0.9018,0.94457,0.6827,1.10207,0.80966,0.00741,0.000767977,0.000767977,0.000767977
4,14.3786,1.08831,1.516,0.00775,0.73023,0.94342,0.94297,0.65094,1.12986,0.83696,0.00715,0.00101902,0.00101902,0.00101902
5,17.9043,1.05616,1.17176,0.00744,0.71376,0.89446,0.92774,0.62773,1.1667,0.85172,0.00776,0.00126478,0.00126478,0.00126478
6,21.4608,1.03679,0.88526,0.00735,0.90709,0.95013,0.97054,0.69007,1.07908,0.73501,0.00715,0.00150526,0.00150526,0.00150526
7,25.0541,1.08506,0.95105,0.00753,0.89219,0.89437,0.93793,0.70089,0.97241,0.5297,0.0066,0.00156798,0.00156798,0.00156798
8,28.6355,1.03297,0.85691,0.00741,0.97203,0.87504,0.96292,0.69575,1.07532,1.11705,0.00743,0.00155148,0.00155148,0.00155148
9,32.149,1.03338,0.72168,0.00734,0.88732,0.91628,0.96655,0.70477,1.04429,0.59937,0.00699,0.00153497,0.00153497,0.00153497
10,35.7159,1.11324,0.69859,0.00792,0.95569,0.9508,0.97526,0.69104,1.09316,0.43132,0.00746,0.00151847,0.00151847,0.00151847
11,39.2542,1.0612,0.61886,0.00752,0.89024,0.92165,0.97871,0.71956,0.98802,0.49076,0.00651,0.00150197,0.00150197,0.00150197
12,42.8552,0.95906,0.54188,0.00677,0.96832,0.97887,0.98539,0.73292,0.97109,0.36326,0.00614,0.00148546,0.00148546,0.00148546
13,46.4519,0.97515,0.48783,0.00672,0.98286,0.95775,0.9876,0.73498,0.9968,0.35616,0.0068,0.00146896,0.00146896,0.00146896
14,50.0454,0.98319,0.49769,0.0068,0.97303,0.9506,0.9841,0.71281,1.08176,0.34633,0.00747,0.00145246,0.00145246,0.00145246
15,53.5564,1.01415,0.48924,0.00712,0.98456,0.95056,0.98578,0.74317,0.96823,0.35966,0.00627,0.00143595,0.00143595,0.00143595
16,57.1095,0.937,0.45037,0.0064,0.96444,0.92254,0.97642,0.74512,0.94214,0.38277,0.00614,0.00141945,0.00141945,0.00141945
17,60.6971,0.92345,0.46105,0.0064,0.96761,0.98592,0.98927,0.76392,0.91048,0.32358,0.00582,0.00140295,0.00140295,0.00140295
18,64.2857,0.91668,0.4315,0.00605,0.96888,1,0.99276,0.76562,0.92714,0.29143,0.00613,0.00138644,0.00138644,0.00138644
19,67.8848,0.97022,0.41272,0.00625,0.95534,0.97017,0.99017,0.76037,0.98909,0.33006,0.00652,0.00136994,0.00136994,0.00136994
20,71.418,0.90263,0.44108,0.00606,0.96311,0.95274,0.99007,0.76754,0.93952,0.32537,0.00594,0.00135344,0.00135344,0.00135344
21,75.0002,0.8862,0.39638,0.0058,0.96145,0.95313,0.99143,0.77202,0.84207,0.2891,0.00538,0.00133693,0.00133693,0.00133693
22,78.5631,0.87811,0.36304,0.00607,0.98063,0.97183,0.9926,0.77089,0.89874,0.27994,0.00555,0.00132043,0.00132043,0.00132043
23,82.0701,0.90479,0.42053,0.00644,0.88044,0.92254,0.9631,0.75065,0.85262,0.42989,0.00536,0.00130393,0.00130393,0.00130393
24,85.6028,0.87167,0.4155,0.00574,0.99049,0.97669,0.99393,0.79393,0.8525,0.2641,0.00555,0.00128742,0.00128742,0.00128742
25,89.2095,0.8547,0.42065,0.00586,0.96299,1,0.99139,0.79372,0.85828,0.2817,0.0056,0.00127092,0.00127092,0.00127092
26,92.7183,0.84229,0.4051,0.00568,0.964,1,0.99195,0.78854,0.84471,0.2728,0.00531,0.00125442,0.00125442,0.00125442
27,96.2622,0.80208,0.37904,0.00543,0.95877,0.99234,0.99237,0.79709,0.83761,0.29365,0.00535,0.00123791,0.00123791,0.00123791
28,99.8419,0.8029,0.35941,0.00564,0.96595,0.96721,0.98957,0.78435,0.85236,0.28345,0.00553,0.00122141,0.00122141,0.00122141
29,103.355,0.77817,0.3534,0.00523,0.99022,0.90219,0.9853,0.79825,0.75264,0.30777,0.00471,0.00120491,0.00120491,0.00120491
30,106.908,0.81901,0.40823,0.00538,0.96238,0.95588,0.98951,0.79977,0.80515,0.2921,0.00508,0.0011884,0.0011884,0.0011884
31,110.501,0.78108,0.36432,0.00513,0.95178,0.98592,0.99122,0.80721,0.74611,0.26054,0.00466,0.0011719,0.0011719,0.0011719
32,114.062,0.79672,0.35597,0.00534,0.98584,0.97489,0.99253,0.78755,0.82989,0.27354,0.00518,0.0011554,0.0011554,0.0011554
33,117.575,0.80609,0.35185,0.00548,0.99658,0.97183,0.99328,0.81292,0.7938,0.23817,0.00504,0.00113889,0.00113889,0.00113889
34,121.124,0.78559,0.33139,0.00521,0.98334,0.98797,0.99439,0.82259,0.76014,0.22763,0.00475,0.00112239,0.00112239,0.00112239
35,124.702,0.73606,0.30696,0.00497,0.97557,0.99583,0.99361,0.81772,0.72481,0.22117,0.00457,0.00110589,0.00110589,0.00110589
36,128.204,0.74655,0.32737,0.0052,0.95012,0.97887,0.9876,0.81576,0.68792,0.25935,0.00433,0.00108938,0.00108938,0.00108938
37,131.705,0.75349,0.34119,0.00515,0.99734,0.96988,0.99431,0.81927,0.72433,0.2527,0.00467,0.00107288,0.00107288,0.00107288
38,135.239,0.72625,0.32948,0.0048,0.97495,0.99296,0.99439,0.82896,0.71879,0.237,0.00457,0.00105638,0.00105638,0.00105638
39,138.833,0.72232,0.31384,0.00472,0.97088,0.99521,0.9921,0.82952,0.69544,0.25924,0.0044,0.00103987,0.00103987,0.00103987
40,142.427,0.77566,0.31282,0.00512,0.93537,0.97917,0.9923,0.81446,0.736,0.28839,0.00444,0.00102337,0.00102337,0.00102337
41,145.949,0.77081,0.31988,0.00494,0.95313,0.99646,0.99145,0.8367,0.68438,0.27854,0.00418,0.00100687,0.00100687,0.00100687
42,149.505,0.72643,0.32681,0.00461,0.966,0.98894,0.99271,0.81514,0.72347,0.23848,0.00467,0.000990365,0.000990365,0.000990365
43,153.049,0.7304,0.30934,0.00485,0.97804,0.97532,0.99135,0.82168,0.71079,0.23965,0.00442,0.000973861,0.000973861,0.000973861
44,156.554,0.72312,0.28517,0.00498,0.98728,0.98109,0.99412,0.81796,0.73262,0.23925,0.00463,0.000957358,0.000957358,0.000957358
45,160.062,0.72609,0.29676,0.005,0.96291,0.98592,0.99014,0.82373,0.67397,0.22993,0.00415,0.000940855,0.000940855,0.000940855
46,163.563,0.71176,0.27994,0.0047,0.9883,0.98592,0.99394,0.79811,0.81346,0.23814,0.00494,0.000924352,0.000924352,0.000924352
47,167.072,0.67346,0.27406,0.00467,0.99678,0.97379,0.99406,0.81143,0.75853,0.22826,0.00465,0.000907848,0.000907848,0.000907848
48,170.598,0.70718,0.27721,0.00464,0.98949,0.99928,0.995,0.83176,0.67519,0.20339,0.00416,0.000891345,0.000891345,0.000891345
49,174.101,0.69267,0.27696,0.00466,0.97327,0.9774,0.99417,0.83877,0.67411,0.24172,0.00421,0.000874842,0.000874842,0.000874842
