epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.78155,0.86692,2.65911,0.95026,1,0.44627,0.73722,0.51085,1.01273,2.37461,0.94767,0.00025005,0.00025005,0.00025005
2,3.44563,0.89238,1.25116,0.93668,0.99301,0.54608,0.92023,0.66985,0.93548,2.27889,0.89955,0.000511654,0.000511654,0.000511654
3,5.13049,0.87411,1.08018,0.94237,1,0.10751,0.70308,0.54184,0.94857,2.7913,0.95467,0.000767977,0.000767977,0.000767977
4,7.13343,0.87203,1.02925,0.98438,1,0.55557,0.92902,0.71186,0.88798,2.1088,0.962,0.00101902,0.00101902,0.00101902
5,8.8424,0.83011,0.9494,0.96916,0.94248,0.80986,0.90371,0.6857,0.9221,1.76966,1.01841,0.00126478,0.00126478,0.00126478
6,10.4622,0.89427,0.91693,0.98692,0.96292,0.90845,0.97009,0.71722,0.95879,1.28368,1.00458,0.00150526,0.00150526,0.00150526
7,12.0948,0.86186,0.87457,0.97128,0.98438,0.98452,0.99056,0.72039,0.97519,0.87828,1.02855,0.00156798,0.00156798,0.00156798
8,13.7198,0.85652,0.83262,0.97451,0.99116,0.9554,0.98571,0.74532,0.90743,0.80782,0.99809,0.00155148,0.00155148,0.00155148
9,15.3443,0.82059,0.78157,0.96873,0.9822,0.99021,0.99338,0.79638,0.76832,0.7833,0.93286,0.00153497,0.00153497,0.00153497
10,16.9753,0.82052,0.7556,0.95836,0.99887,0.99296,0.99486,0.77242,0.80324,0.65476,0.94357,0.00151847,0.00151847,0.00151847
11,18.5974,0.80623,0.71082,0.97139,0.95789,0.91412,0.96788,0.73793,0.93573,1.03507,1.00247,0.00150197,0.00150197,0.00150197
12,20.2136,0.85065,0.70749,0.96726,0.99547,0.99296,0.99473,0.77021,0.79806,0.60263,0.95504,0.00148546,0.00148546,0.00148546
13,21.8254,0.79403,0.66164,0.95757,0.98688,0.9992,0.99056,0.77371,0.82586,0.53103,0.93859,0.00146896,0.00146896,0.00146896
14,23.4558,0.75548,0.61735,0.93329,0.98956,0.99178,0.9943,0.79275,0.75253,0.48046,0.916,0.00145246,0.00145246,0.00145246
15,25.0802,0.7869,0.64238,0.95996,0.98321,0.99542,0.995,0.77595,0.77293,0.53114,0.92417,0.00143595,0.00143595,0.00143595
16,26.6819,0.75057,0.59165,0.94068,0.99017,1,0.99444,0.80173,0.73435,0.44547,0.90976,0.00141945,0.00141945,0.00141945
17,28.4851,0.7769,0.58548,0.94236,0.99117,1,0.99424,0.79985,0.74361,0.46528,0.90725,0.00140295,0.00140295,0.00140295
18,30.0981,0.79094,0.57753,0.94341,0.99163,0.98592,0.99459,0.79364,0.75271,0.44228,0.92408,0.00138644,0.00138644,0.00138644
19,31.7071,0.76449,0.55805,0.93629,0.9903,0.99988,0.99319,0.81476,0.71961,0.42907,0.90869,0.00136994,0.00136994,0.00136994
20,33.3247,0.75275,0.53769,0.94844,0.99167,1,0.99486,0.78139,0.74086,0.41822,0.9126,0.00135344,0.00135344,0.00135344
21,34.9481,0.74619,0.54644,0.92939,0.99697,1,0.995,0.79173,0.75881,0.40021,0.9253,0.00133693,0.00133693,0.00133693
22,36.5993,0.74917,0.52279,0.92662,0.99031,1,0.99493,0.80534,0.75535,0.39646,0.92,0.00132043,0.00132043,0.00132043
23,38.2635,0.75068,0.50956,0.9372,0.98979,0.99924,0.99493,0.79892,0.75271,0.39752,0.90325,0.00130393,0.00130393,0.00130393
24,39.9222,0.74099,0.5054,0.93907,0.99729,0.99296,0.99486,0.79873,0.78142,0.39378,0.9171,0.00128742,0.00128742,0.00128742
25,41.5542,0.74768,0.51815,0.96218,0.99643,0.99296,0.99493,0.79185,0.76918,0.39336,0.91396,0.00127092,0.00127092,0.00127092
26,43.2378,0.706,0.4836,0.90859,0.99454,0.99928,0.995,0.80926,0.75014,0.40697,0.90981,0.00125442,0.00125442,0.00125442
27,44.9316,0.75098,0.48857,0.9503,0.99811,1,0.995,0.80494,0.74722,0.39882,0.90931,0.00123791,0.00123791,0.00123791
28,46.5961,0.75562,0.49226,0.937,0.99762,0.99271,0.99493,0.79232,0.73156,0.40643,0.91115,0.00122141,0.00122141,0.00122141
29,48.3932,0.71912,0.46944,0.93236,0.98808,1,0.99486,0.80468,0.75572,0.40732,0.90785,0.00120491,0.00120491,0.00120491
