epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.75093,0.92731,2.89853,0.95832,0.00657,1,0.61606,0.47256,0.91604,2.76347,0.90852,0.00025005,0.00025005,0.00025005
2,3.42361,0.86007,1.39681,0.93331,0.00654,1,0.76364,0.56146,0.89267,2.78208,0.93933,0.000511654,0.000511654,0.000511654
3,5.11408,0.88251,1.31842,0.99175,0.96766,0.21268,0.58137,0.45389,0.90024,2.8294,0.94102,0.000767977,0.000767977,0.000767977
4,6.77807,0.86178,1.18666,0.97419,1,0.37526,0.96523,0.70809,0.95718,2.22684,0.9647,0.00101902,0.00101902,0.00101902
5,8.43805,0.84795,1.06933,0.96503,1,0.67539,0.9936,0.72564,0.91655,1.86257,1.0044,0.00126478,0.00126478,0.00126478
6,10.0872,0.83513,0.99554,0.97108,0.95187,0.89918,0.97945,0.72594,0.90148,1.28324,0.97792,0.00150526,0.00150526,0.00150526
7,11.7057,0.84471,0.97743,0.97532,0.90543,0.91622,0.97267,0.69424,1.05361,1.29737,1.03542,0.00156798,0.00156798,0.00156798
8,13.3056,0.88615,0.92519,1.01601,0.8953,0.79508,0.92865,0.66614,1.03682,1.41179,1.03829,0.00155148,0.00155148,0.00155148
9,14.9029,0.80183,0.81747,0.96874,0.97832,0.88289,0.94182,0.69199,0.92896,1.01414,0.99482,0.00153497,0.00153497,0.00153497
10,16.5698,0.82059,0.78385,0.99305,0.9804,0.96479,0.98705,0.75645,0.85361,0.71692,0.95213,0.00151847,0.00151847,0.00151847
11,18.1788,0.79652,0.74048,0.97532,0.94698,0.96524,0.98622,0.7624,0.88391,0.64674,0.97852,0.00150197,0.00150197,0.00150197
12,19.7933,0.77513,0.68871,0.96937,0.99728,0.98405,0.99352,0.76658,0.82988,0.60794,0.96444,0.00148546,0.00148546,0.00148546
13,21.3996,0.79238,0.65708,0.9464,0.99618,1,0.995,0.77253,0.82373,0.50604,0.94339,0.00146896,0.00146896,0.00146896
14,23.0013,0.82498,0.66596,0.95369,0.9915,0.99022,0.99254,0.78535,0.76717,0.61682,0.9429,0.00145246,0.00145246,0.00145246
15,24.6012,0.78377,0.63052,0.95835,0.94823,0.97887,0.97885,0.74044,0.86377,0.63582,0.96688,0.00143595,0.00143595,0.00143595
16,26.2011,0.78204,0.60373,0.95486,0.98874,0.95388,0.99006,0.78055,0.78662,0.49058,0.93027,0.00141945,0.00141945,0.00141945
17,27.7958,0.76427,0.57669,0.95624,0.96912,0.9813,0.99155,0.77841,0.79503,0.48773,0.94228,0.00140295,0.00140295,0.00140295
18,29.3854,0.74657,0.55497,0.939,0.83151,0.89591,0.91699,0.71298,0.81996,0.86245,0.95043,0.00138644,0.00138644,0.00138644
19,30.9885,0.7407,0.53988,0.92976,0.98723,0.97897,0.99022,0.78829,0.77009,0.47784,0.9302,0.00136994,0.00136994,0.00136994
20,32.6,0.73853,0.53295,0.94473,0.98463,0.99911,0.99486,0.78841,0.721,0.44678,0.91015,0.00135344,0.00135344,0.00135344
21,34.2019,0.72412,0.52384,0.91511,0.99791,1,0.995,0.79724,0.75695,0.45715,0.92637,0.00133693,0.00133693,0.00133693
22,35.7922,0.7292,0.50529,0.95055,0.9861,0.99994,0.99486,0.7857,0.84182,0.49405,0.95363,0.00132043,0.00132043,0.00132043
23,37.3813,0.73771,0.50668,0.94703,0.99023,0.99296,0.99396,0.78659,0.78313,0.43332,0.93391,0.00130393,0.00130393,0.00130393
24,38.9565,0.72345,0.49644,0.93401,0.98838,0.99208,0.99437,0.80877,0.68351,0.39187,0.90067,0.00128742,0.00128742,0.00128742
25,40.561,0.69512,0.47469,0.92958,0.98864,0.99296,0.99288,0.77737,0.77314,0.45805,0.92926,0.00127092,0.00127092,0.00127092
26,42.1545,0.73853,0.48438,0.93037,0.99461,1,0.995,0.7997,0.75294,0.42259,0.9243,0.00125442,0.00125442,0.00125442
27,43.7296,0.70368,0.44941,0.9101,0.99736,1,0.995,0.78862,0.78164,0.41252,0.92098,0.00123791,0.00123791,0.00123791
