epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.17626,0.9757,2.79327,0.93185,0.00656,1,0.56515,0.36734,0.92501,2.96113,0.82677,0.00025005,0.00025005,0.00025005
2,1.97997,0.90442,1.09037,0.89457,1,0.03295,0.81119,0.6349,0.87508,2.61054,0.81566,0.000511654,0.000511654,0.000511654
3,2.76043,0.91752,0.87112,0.92084,1,0.03252,0.87609,0.68719,0.86659,2.50926,0.81855,0.000767977,0.000767977,0.000767977
4,3.85658,0.88016,0.80296,0.90921,1,0.33354,0.97217,0.73393,0.91642,2.18961,0.84346,0.00101902,0.00101902,0.00101902
5,4.61546,0.87349,0.78702,0.90048,0.98905,0.84023,0.99016,0.75749,0.93811,1.75999,0.84043,0.00126478,0.00126478,0.00126478
6,5.3774,0.86928,0.77573,0.9072,0.9798,0.9155,0.988,0.74094,0.91372,1.1185,0.84867,0.00150526,0.00150526,0.00150526
7,6.11533,0.88753,0.74211,0.90155,0.99494,0.9547,0.99445,0.73793,0.95069,1.13965,0.86004,0.00156798,0.00156798,0.00156798
8,6.83712,0.88168,0.7279,0.92107,0.96467,0.99861,0.99329,0.76952,0.89595,0.70133,0.85125,0.00155148,0.00155148,0.00155148
9,7.6025,0.84372,0.69864,0.90056,0.97862,0.99296,0.99493,0.74747,0.8351,0.60332,0.83174,0.00153497,0.00153497,0.00153497
10,8.34169,0.86762,0.67971,0.90133,0.99308,0.99296,0.99486,0.72785,1.0154,0.64496,0.89649,0.00151847,0.00151847,0.00151847
11,9.08077,0.82139,0.66739,0.89853,0.99578,0.99901,0.995,0.75437,0.87263,0.58924,0.8627,0.00150197,0.00150197,0.00150197
12,9.803,0.77159,0.61946,0.88174,0.99242,0.99864,0.995,0.77394,0.7856,0.54921,0.84332,0.00148546,0.00148546,0.00148546
13,10.5471,0.79381,0.61965,0.87212,0.99662,0.99951,0.995,0.7823,0.77852,0.54084,0.84219,0.00146896,0.00146896,0.00146896
14,11.3027,0.78826,0.61834,0.87557,0.99791,1,0.995,0.75837,0.79609,0.55325,0.84624,0.00145246,0.00145246,0.00145246
15,12.0537,0.82876,0.60061,0.88175,0.9976,0.98994,0.99101,0.72901,0.93619,0.56993,0.88338,0.00143595,0.00143595,0.00143595
16,12.8891,0.80283,0.58882,0.87973,0.99483,0.98957,0.9948,0.78659,0.8275,0.62263,0.85447,0.00141945,0.00141945,0.00141945
17,13.6227,0.76365,0.56524,0.88139,0.9671,0.98039,0.99333,0.76662,0.86845,0.63308,0.85888,0.00140295,0.00140295,0.00140295
18,14.3727,0.76018,0.55513,0.87068,0.98897,1,0.99493,0.78306,0.77108,0.51382,0.84145,0.00138644,0.00138644,0.00138644
19,15.1015,0.76007,0.55158,0.86644,0.99819,0.99897,0.995,0.77908,0.82336,0.48625,0.846,0.00136994,0.00136994,0.00136994
20,15.8184,0.76275,0.54207,0.8727,0.99704,1,0.995,0.77284,0.81093,0.49061,0.84136,0.00135344,0.00135344,0.00135344
21,16.5953,0.75702,0.53703,0.86141,0.98216,0.99296,0.99493,0.78291,0.81242,0.62536,0.83995,0.00133693,0.00133693,0.00133693
22,17.3494,0.74527,0.52136,0.86577,0.98165,0.97355,0.99219,0.77026,0.86653,0.56917,0.85807,0.00132043,0.00132043,0.00132043
23,18.1347,0.76015,0.52889,0.87985,0.89104,0.93464,0.97417,0.74625,0.92106,0.84091,0.88778,0.00130393,0.00130393,0.00130393
24,18.8939,0.73675,0.51617,0.86701,0.99615,0.99296,0.99455,0.77691,0.87295,0.55063,0.86477,0.00128742,0.00128742,0.00128742
25,19.6443,0.70586,0.50204,0.86946,0.99519,1,0.995,0.78388,0.78814,0.49703,0.84576,0.00127092,0.00127092,0.00127092
26,20.3436,0.72621,0.4947,0.86001,0.99669,1,0.995,0.81309,0.69852,0.43492,0.82624,0.00125442,0.00125442,0.00125442
27,21.0414,0.71633,0.47912,0.86719,0.99729,1,0.995,0.79622,0.74837,0.43041,0.84607,0.00123791,0.00123791,0.00123791
28,21.7774,0.70761,0.47841,0.86563,0.99712,1,0.995,0.7941,0.75793,0.47736,0.84797,0.00122141,0.00122141,0.00122141
29,22.6217,0.72925,0.49564,0.86685,0.99245,0.99303,0.99493,0.80036,0.70624,0.47392,0.83736,0.00120491,0.00120491,0.00120491
30,23.4157,0.72532,0.4938,0.87707,0.99063,0.9982,0.99493,0.77564,0.79879,0.46834,0.84784,0.0011884,0.0011884,0.0011884
31,24.1334,0.71912,0.47054,0.86302,0.99282,0.99492,0.995,0.80074,0.7146,0.44345,0.82602,0.0011719,0.0011719,0.0011719
32,24.8237,0.70306,0.46926,0.86172,0.99103,1,0.99438,0.79967,0.68235,0.45152,0.8233,0.0011554,0.0011554,0.0011554
33,25.5262,0.67683,0.45386,0.85918,0.98308,0.99306,0.99431,0.80103,0.74573,0.43878,0.83061,0.00113889,0.00113889,0.00113889
34,26.2581,0.70152,0.46099,0.85812,0.99129,0.99191,0.99212,0.80827,0.72475,0.44494,0.82101,0.00112239,0.00112239,0.00112239
35,27.0065,0.65369,0.44744,0.85464,0.98997,1,0.995,0.81403,0.69527,0.4194,0.82109,0.00110589,0.00110589,0.00110589
36,27.7198,0.68297,0.44921,0.85365,0.98858,1,0.99465,0.81848,0.71295,0.42581,0.82661,0.00108938,0.00108938,0.00108938
37,28.4365,0.66228,0.43872,0.85454,0.99024,1,0.99493,0.81614,0.70572,0.41562,0.82776,0.00107288,0.00107288,0.00107288
38,29.1446,0.64936,0.43548,0.85474,0.98976,1,0.99472,0.82146,0.71465,0.4059,0.83182,0.00105638,0.00105638,0.00105638
39,29.8735,0.66721,0.4394,0.85328,0.99049,1,0.99493,0.81845,0.72579,0.41149,0.83868,0.00103987,0.00103987,0.00103987
40,30.5634,0.6851,0.43555,0.85867,0.98879,1,0.995,0.8082,0.71297,0.40433,0.82391,0.00102337,0.00102337,0.00102337
41,31.3704,0.65944,0.43229,0.84873,0.99753,1,0.995,0.82523,0.68792,0.40064,0.82409,0.00100687,0.00100687,0.00100687
42,32.0754,0.66146,0.42194,0.85295,0.99801,0.99743,0.995,0.80578,0.78479,0.42126,0.84869,0.000990365,0.000990365,0.000990365
43,32.7633,0.65995,0.42125,0.84828,0.99372,1,0.995,0.80895,0.73046,0.40569,0.8367,0.000973861,0.000973861,0.000973861
