epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.94625,0.97537,2.92988,0.98327,0.01688,0.98592,0.81234,0.59325,0.94381,2.55976,0.89173,0.00025005,0.00025005,0.00025005
2,3.72878,0.88727,1.4658,0.96276,0.00649,0.99296,0.83795,0.58471,0.8726,2.77202,0.92548,0.000511654,0.000511654,0.000511654
3,5.47274,0.93317,1.36495,1.05715,0.53741,0.68574,0.72782,0.54788,0.86511,2.82806,0.94728,0.000767977,0.000767977,0.000767977
4,7.26005,0.87725,1.22829,0.99602,0.9901,0.34374,0.83663,0.55433,1.07092,2.2888,1.02521,0.00101902,0.00101902,0.00101902
5,8.99734,0.85671,1.12068,0.982,0.93128,0.55748,0.86182,0.55415,1.12121,2.03158,1.09027,0.00126478,0.00126478,0.00126478
6,10.6768,0.85875,1.04294,0.9807,0.62044,0.80388,0.76004,0.52285,0.98957,1.64318,1.04208,0.00150526,0.00150526,0.00150526
7,12.4057,0.87894,0.97012,0.98759,0.91469,0.97183,0.99008,0.70873,1.04474,0.88966,1.03297,0.00156798,0.00156798,0.00156798
8,14.1685,0.92946,0.97018,1.03221,0.94409,0.92602,0.9728,0.73079,0.88937,0.82405,0.97811,0.00155148,0.00155148,0.00155148
9,15.9271,0.86917,0.85677,0.99364,0.98679,0.97897,0.99387,0.77841,0.83532,0.70081,0.96215,0.00153497,0.00153497,0.00153497
10,17.6659,0.83984,0.81924,0.9971,0.81352,0.95775,0.98863,0.73213,0.8956,0.84818,0.97137,0.00151847,0.00151847,0.00151847
11,19.3142,0.82086,0.76428,0.98104,0.99517,0.99928,0.995,0.75708,0.88658,0.63036,0.97598,0.00150197,0.00150197,0.00150197
12,20.9776,0.78141,0.7152,0.96766,0.93899,0.99095,0.98884,0.76224,0.8599,0.67467,0.96362,0.00148546,0.00148546,0.00148546
13,22.6288,0.80626,0.67403,0.95671,0.99893,0.99894,0.995,0.74931,0.86132,0.53322,0.9425,0.00146896,0.00146896,0.00146896
14,24.364,0.82174,0.66181,0.96067,0.96356,0.99617,0.99396,0.7661,0.82553,0.51835,0.94144,0.00145246,0.00145246,0.00145246
15,26.0401,0.80725,0.6255,0.96311,0.99185,0.9892,0.99338,0.76708,0.80544,0.49316,0.94716,0.00143595,0.00143595,0.00143595
16,27.7368,0.77847,0.59684,0.95047,0.98557,1,0.99486,0.77623,0.79193,0.47711,0.93494,0.00141945,0.00141945,0.00141945
17,29.3814,0.77727,0.58616,0.95664,0.98918,1,0.99486,0.79966,0.76925,0.43177,0.92238,0.00140295,0.00140295,0.00140295
18,31.0722,0.75553,0.55339,0.9368,0.99715,1,0.995,0.7778,0.80723,0.42925,0.93508,0.00138644,0.00138644,0.00138644
