epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.53272,0.85006,2.74569,0.92696,1,0.43993,0.83374,0.55657,0.92041,2.59981,0.87916,0.00025005,0.00025005,0.00025005
2,5.57018,0.80549,1.39126,0.90651,1,0.22827,0.90497,0.69474,0.81473,2.67453,0.86852,0.000511654,0.000511654,0.000511654
3,7.49525,0.87507,1.27874,0.96195,1,0.07753,0.95995,0.68201,0.87225,2.53076,0.89686,0.000767977,0.000767977,0.000767977
4,9.33888,0.83349,1.16528,0.93725,1,0.33677,0.94919,0.70925,0.87531,2.24251,0.90516,0.00101902,0.00101902,0.00101902
5,11.3537,0.82162,1.1061,0.93441,1,0.59204,0.98874,0.74907,0.88871,2.01613,0.96452,0.00126478,0.00126478,0.00126478
6,13.217,0.79672,1.05188,0.93979,0.98323,0.96554,0.98557,0.737,0.87026,1.32746,0.9671,0.00150526,0.00150526,0.00150526
7,15.0494,0.81793,0.98507,0.96016,0.98856,0.98592,0.99041,0.73297,0.91008,0.92863,0.97666,0.00156798,0.00156798,0.00156798
8,16.865,0.84323,0.949,0.97876,0.99029,0.95922,0.98551,0.74523,0.86184,0.91358,0.97192,0.00155148,0.00155148,0.00155148
9,18.8403,0.78369,0.85622,0.95499,0.98266,0.9849,0.99218,0.7646,0.85795,0.81779,0.96824,0.00153497,0.00153497,0.00153497
10,20.8463,0.81684,0.84337,0.98251,0.98678,0.99356,0.99403,0.76654,0.83567,0.80556,0.94861,0.00151847,0.00151847,0.00151847
11,22.8245,0.77883,0.79514,0.95912,0.98166,0.97887,0.99156,0.72512,0.90766,0.73839,0.99819,0.00150197,0.00150197,0.00150197
12,24.8465,0.77954,0.75506,0.96021,0.97941,0.99296,0.99126,0.76531,0.81266,0.62964,0.95423,0.00148546,0.00148546,0.00148546
13,26.8019,0.76702,0.70221,0.93612,0.98851,0.99296,0.99262,0.77854,0.76272,0.58318,0.927,0.00146896,0.00146896,0.00146896
14,28.9601,0.79718,0.68111,0.95384,0.98229,0.9919,0.99389,0.76486,0.80073,0.58933,0.93051,0.00145246,0.00145246,0.00145246
15,30.7987,0.77934,0.64348,0.94976,0.99731,0.98592,0.99434,0.77588,0.79486,0.54146,0.94276,0.00143595,0.00143595,0.00143595
